"Quotation Report - Date : January-28, 2026 11:00 AM",,,,,,,,,,,,,
No,Number,Company,Date,Type,Client,Project Name,Description,Material,Material Code,Quo. Value,Cur.,MVL Contact,Status
9080,Q-1192-F7961,FIRESTOP,08 Aug 2017,IQ,Rashid M.A.,G+1 Hatta Area,SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,10000,AED,Waleed B.M.,Order
9081,Q-1192-F7953A,FIRESTOP,08 Aug 2017,IQ,Al S.I.,G+25,SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,600,AED,Waleed B.M.,Quotation
9082,Q-1192-F7960A,FIRESTOP,07 Aug 2017,IQ,Golden F.M.,FIRESTOPPING PROJECT,Supply Of INSS0285,Firestop/ DC 315,Fire,12,AED,Samar T.,Quotation
9083,Q-1192-F7960,FIRESTOP,07 Aug 2017,IQ,Al F.A.,FIRESTOPPING PROJECT,Supply Of INSS0285,Firestop/ DC 315,Fire,12,AED,Samar T.,Quotation
9084,Q-1192-F7959,FIRESTOP,07 Aug 2017,IQ,Dubco C.L.,G+13 Residential Building Plot 231-319 Al Nahda Dubai LPO/T 010817-04973,SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,16826,AED,Waleed B.M.,Order
9085,Q-1192-F7958,FIRESTOP,07 Aug 2017,IQ,Siemens L.,ADCO Project ASAB,Supply Of INSS1440-5G PAIL,Firestop/ DC 315,Fire,1340,AED,Samar T.,Order
9086,Q-1192-F7957,FIRESTOP,07 Aug 2017,IQ,Dubco C.L.,2B+G+24FLR +HC DUBAI SPORTS CITY PLOT 682-145(R3a-10) LPO/T 050817-05033,Suppply Of INSS1440-5G PAIL,Firestop/ DC 315,Fire,7000,AED,Waleed B.M.,Order
9087,Q-1192-F7828A,FIRESTOP,06 Aug 2017,IQ,Al B.A.,Project In Abu Dhabi PO00008019,SUPPLY OF INSS2460,Firestop/ DC 315,Fire,15750,AED,Samar T.,Order
9088,Q-1192-F7956,FIRESTOP,06 Aug 2017,IQ,Hussain A.T.,FIRESTOPPING PROJECT,Supply Of INSS2460-GREY,Firestop/ DC 315,Fire,990,AED,Karim E.,Order
9089,Q-1192-F7551A,FIRESTOP,06 Aug 2017,IQ,Rotana C.L.,G+M+4+GYM+ROOF-Al Muteena,SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,26410,AED,Waleed B.M.,Quotation
9090,Q-1005-V6982,MACRO,06 Aug 2017,IQ,Us E.-.,Supply Of Golf Driving Range UV Net,Supply Of Golf Driving Range UV Net,Building Materials,Various,21140,USD,Maricar I.,Quotation
9091,Q-1005-O1,MACRO,06 Aug 2017,IQ,Unops ,95336-Afghanistan-Goods-RFQ-076,"Supply And Delivery Of Laptop Computers To UNMAS Office, Kabul",Computer Peripherals,Office Assets,20151,USD,Marman I.,Quotation
9092,Q-1005-M7003,MACRO,06 Aug 2017,IQ,Us E.A.,PR6459375 - Compressor For York /JCI Chiller. Chiller Model: YCAS0965EB50YFADB SERIAL No: 814270 COMPRESSOR MODEL: DXS454ASA46/50 P/NO-364-49094-315 415V 3PH 50HZ,Compressor For York /JCI Chiller. Chiller Model: YCAS0965EB50YFADB SERIAL No: 814270 COMPRESSOR MODEL: DXS454ASA46/50 P/NO-364-49094-315 415V 3PH 50HZ,Mechanical Items,Mechanical,280874,AED,Marman I.,Quotation
9093,Q-1005-V4453,MACRO,03 Aug 2017,IQ,Regional C.C.,W912D2-17-Q-5013 - Aircraft Sunshades,W912D2-17-Q-5013 - Aircraft Sunshades,Misc.,Various,136620,USD,Maricar I.,Quotation
9094,RFQ-1192-O1,FIRESTOP,03 Aug 2017,RFQ,Techtrade M.E.,3 DESKTOP AS PER ATTACHED SPECIFICATION AND HP SCAN JET 200 FLATBED SCANNER WITH WARRANTY,3 DESKTOP AS PER ATTACHED SPECIFICATION AND HP SCAN JET 200 FLATBED SCANNER WITH WARRANTY,Computer Peripherals,Office Assets,6160,AED, ,Order
9095,Q-1192-F7955,FIRESTOP,03 Aug 2017,IQ,United F.G.,"The Residential Villa Nad Al Shibai, Dubai LPO# VIL005",SUPPLY OF INSS1186,Firestop/ DC 315,Fire,19800,AED,Samar T.,Order
9096,Q-1192-F7954,FIRESTOP,03 Aug 2017,IQ,Central C.L.,Hotel+Hotel Apt.Comm Bldg. (2B+G+M+3TYP+HC) On Plot No. 214-534 @ Al Gharhoud Job 653 LPO 200486,Supply Of INFS0812,Firestop/ DC 315,Fire,1955.25,AED,Samar T.,Order
9097,Q-1192-F7953,FIRESTOP,03 Aug 2017,IQ,Al S.I.,G+25,SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,10788,AED,Waleed B.M.,Quotation
9098,Q-1192-F7782A,FIRESTOP,03 Aug 2017,IQ,Khalifa L.C.,"B+G+M+4+GYM @ DEIRA,DUBAI LPO# 731",SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,39585.5,AED,Samar T.,Order
9099,Q-1005-L4047,MACRO,03 Aug 2017,IQ,Desa I.,"Freight Charges EXW,Germany To DWC","Freight Charges EXW,Germany To DWC",Transportation,Logistics,1203.1,USD, ,Order
9100,Q-1192-F7952,FIRESTOP,03 Aug 2017,IQ,United F.G.,"CONSTELLA APARTMENT PROJECT, MBCC, Damac JVC1 LPO CON009",SUPPLY OF INSS1186,Firestop/ DC 315,Fire,13200,AED,Samar T.,Order
9101,Q-1192-F7951,FIRESTOP,03 Aug 2017,IQ,Al M.E.,FIRESTOPPING PROJECT,SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,917,AED,Waleed B.M.,Quotation
9102,Q-1192-F7950,FIRESTOP,03 Aug 2017,IQ,Etisalat U.,The One Tower Sh. Zayed Rd,Supply Of MVL Firestop Materials,Firestop/ DC 315,Fire,6990,AED,Samar T.,Quotation
9103,Q-1192-F7888A,FIRESTOP,03 Aug 2017,IQ,Inayah E.W.,FIRESTOPPING PROJECT,SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,328,AED,Waleed B.M.,Quotation
9104,Q-1192-F7949,FIRESTOP,03 Aug 2017,IQ,Modern B.C.,DUBAILAND 2B(Parking) +G+9+Typical RC-D-030 LWO 108/36,SUPPLY OF FP04+,Firestop/ DC 315,Fire,6000,AED,Samar T.,Order
9105,Q-1192-F7948,FIRESTOP,02 Aug 2017,IQ,Adnan C.C.,2B+G+P+13+R @ AL FURJAN  DUBAI,Supply Of MVL Firestop Materials,Firestop/ DC 315,Fire,53723,AED,Waleed B.M.,Quotation
9106,RFQ-1192-F7947,FIRESTOP,02 Aug 2017,RFQ,Green F.T.,DC68 SPRAY TO PROTECT  5 Gallon And 200 Liter/Drum,GFM-20170801-012 (TO BE INCLUDED ON 1ST SHIPMENT OF JULY ORDER),Firestop/ DC 315,Fire,3730,USD, ,Order
9107,Q-1192-F7943A,FIRESTOP,01 Aug 2017,IQ,Dnb C.,G+4 LABOR ACCOMMODATION - PJ 39 Plot# 597-862 - DIP 2,SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,0,AED,Waleed B.M.,Quotation
9108,RFQ-1569-V4357,FIRESTOP,01 Aug 2017,RFQ,Bafco T.L.,"T3 SCREENBOARDS FOR KONNECT FREE-STANDING AND T3 SCREENS FILLER (2WAY,3WAY &  4WAY)","T3 SCREENBOARDS FOR KONNECT FREE-STANDING AND T3 SCREENS FILLER (2WAY,3WAY &  4WAY)",Misc.,Various,1185,AED, ,Order
9109,Q-1192-F7946,FIRESTOP,01 Aug 2017,IQ,Engineering C.C.,FIRESTOPPING PROJECT,SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,383,AED,Waleed B.M.,Quotation
9110,Q-1192-F7945,FIRESTOP,01 Aug 2017,IQ,Naresco C.L.,FIRESTOPPING PROJECT,SUPPLY OF INSS1186,Firestop/ DC 315,Fire,15,AED,Waleed B.M.,Quotation
