poNumber,poDate,poName,supplier,originalValue,currency,mainOrderId,orderId,entityCode,entity,material,materialCode,poVersion,isChangeOrder,year,month,yearMonth,valueUSD,poSpendUSD,poType,changeOrderGroup,changeOrderTotal,project
RFPO-1569-O47-1,09 Jun 2023,PO for DNV Techno Commercial Proposal for SIRI assessment,DNV BUSINESS ASSURANCE Group AS Dubai Branch,53500.0,AED,1569,6402,O47,MACRO,Office Assets,Office Assets,1,False,2023,6,2023-06,14567.73,14567.73,Base PO,1,1,PO for DNV Techno Commercial Proposal for SIRI assessment
RFPO-1192-O7-1,09 Jun 2023,PO for ZOHO Books PREMIUM,Supertron Infotech Trading LLC,11396.0,AED,1192,6403,O7,MACRO,Office Assets,Office Assets,1,False,2023,6,2023-06,3103.06,3103.06,Base PO,1,1,PO for ZOHO Books PREMIUM
RFPO-5193-A5204-1,08 Jun 2023,"PO for DOORS & FRAMES, VISION PANEL WITH GLASS, AND DOOR HARDWARES",ARCHITECTURAL METAL DOORS FZC,171017.52,AED,5193,6397,A5204,MICRON,Architectural,Architectural,1,False,2023,6,2023-06,46567.06,46567.06,Base PO,3,3,"PO for DOORS & FRAMES, VISION PANEL WITH GLASS, AND DOOR HARDWARES"
RFPO-5829-V40001-1,08 Jun 2023,PO for SOLAR LAMP CONE BASE ORANGE BIG,BERRY TRADING LLC,800.0,AED,5829,6398,V40001,MACRO,Various,Various,1,False,2023,6,2023-06,217.84,217.84,Base PO,1,1,PO for SOLAR LAMP CONE BASE ORANGE BIG
RFPO-5829-V40002-1,08 Jun 2023,PO for USED PLASTIC ROAD BARRIERS SIZE 2 METER,ROCKLAND TRADING COMPANY FZ LLE,7840.0,AED,5829,6399,V40002,MACRO,Various,Various,1,False,2023,6,2023-06,2134.79,2134.79,Base PO,1,1,PO for USED PLASTIC ROAD BARRIERS SIZE 2 METER
RFPO-5683-V40007-1,07 Jun 2023,PO for Paints / Coatings,The Sherwin-Williams Company,13134.16,USD,5683,6394,V40007,MVL Greece,Various,Various,1,False,2023,6,2023-06,13134.16,13134.16,Base PO,1,1,PO for Paints / Coatings
RFPO-5581-V40003-1,07 Jun 2023,PO for Paints / Coatings,The Sherwin-Williams Company,8807.45,USD,5581,6395,V40003,MACRO,Various,Various,1,False,2023,6,2023-06,8807.45,8807.45,Base PO,1,1,PO for Paints / Coatings
RFPO-1005-E7056-1,06 Jun 2023,PO for KSA 126 - Water Service Line Appurtenances - VALVES,TIC LIGHT ELECTRICAL CORP,1513.35,USD,1005,6391,E7056,MICRON,Electrical,Electrical,1,False,2023,6,2023-06,1513.35,1513.35,Base PO,1,1,PO for KSA 126 - Water Service Line Appurtenances - VALVES
RFPO-5657-V40006-1,06 Jun 2023,PO for Pipes & Hardware,APP Manufacturing,47572.21,USD,5657,6392,V40006,MACRO,Various,Various,1,False,2023,6,2023-06,47572.21,47572.21,Base PO,1,1,PO for Pipes & Hardware
RFPO-1005-V7059-1,06 Jun 2023,"PO for Supply & Delivery to site of Kingspan TATE Raised Access Flooring system consisting of TATE Concore IHCSF2500 (Panel Size 60X60CM), factory laminated 2.0mm thick PVC Laminate Complete with Type",Modernity Technology for Information Technology (Est.),263395.0,SAR,1005,6393,V7059,MICRON,Various,Various,1,False,2023,6,2023-06,70238.67,70238.67,Base PO,1,1,"PO for Supply & Delivery to site of Kingspan TATE Raised Access Flooring system consisting of TATE Concore IHCSF2500 (Panel Size 60X60CM), factory laminated 2.0mm thick PVC Laminate Complete with Type"
RFPO-5532-T1001-1,05 Jun 2023,PO for Manual Total Station,GECO ENGINEERING EQUIPMENTS TRADING L.L.C,39585.0,AED,5532,6390,T1001,MACRO,Tools,Tools,1,False,2023,6,2023-06,10778.76,10778.76,Base PO,1,1,PO for Manual Total Station
