orderId,mainOrderId,poNumber,groupTotalValueUSD,groupPOCount
RFPO-6542-V40001,6542,RFPO-6542-V40001-2,86874.0,2
RFPO-5532-V4368,5532,RFPO-5532-V4368-2,88100.0,2
RFPO-5532-V4368,5532,RFPO-5532-V4368-3,88100.0,2
RFPO-5829-S9100,5829,RFPO-5829-S9100-1,1091.85,2
RFPO-5829-S9100,5829,RFPO-5829-S9100-2,1091.85,2
RFPO-5532-M4021,5532,RFPO-5532-M4021-1,702717.39,3
RFPO-5532-M4021,5532,RFPO-5532-M4021-2,702717.39,3
RFPO-5532-M4021,5532,RFPO-5532-M4021-3,702717.39,3
RFPO-6542-V40002,6542,RFPO-6542-V40002-1,312.5,2
RFPO-6542-V40002,6542,RFPO-6542-V40002-2,312.5,2
RFPO-1005-V7143,1005,RFPO-1005-V7143-1,236500.0,3
RFPO-1005-V7143,1005,RFPO-1005-V7143-2,236500.0,3
RFPO-1005-V7143,1005,RFPO-1005-V7143-3,236500.0,3
RFPO-1005-E7091,1005,RFPO-1005-E7091-1,7761.6,4
RFPO-1005-E7091,1005,RFPO-1005-E7091-2,7761.6,4
RFPO-1005-E7091,1005,RFPO-1005-E7091-3,7761.6,4
RFPO-1005-E7091,1005,RFPO-1005-E7091-4,7761.6,4
RFPO-5532-M4015,5532,RFPO-5532-M4015-1,1290.96,2
RFPO-5532-M4015,5532,RFPO-5532-M4015-2,1290.96,2
RFPO-5503-V40008A,5503,RFPO-5503-V40008A-1,155606.96,2
RFPO-5503-V40008A,5503,RFPO-5503-V40008A-2,155606.96,2
RFPO-1569-V4413,1569,RFPO-1569-V4413-1,2968.01,2
RFPO-1569-V4413,1569,RFPO-1569-V4413-2,2968.01,2
RFPO-5153-C6054,5153,RFPO-5153-C6054-1,684040.8,3
RFPO-5153-C6054,5153,RFPO-5153-C6054-2,684040.8,3
RFPO-5153-C6054,5153,RFPO-5153-C6054-3,684040.8,3
RFPO-5410-V40002,5410,RFPO-5410-V40002-1,11337.14,2
RFPO-5410-V40002,5410,RFPO-5410-V40002-2,11337.14,2
RFPO-1005-V7127,1005,RFPO-1005-V7127-1,27572.58,2
RFPO-1005-V7127,1005,RFPO-1005-V7127-2,27572.58,2
RFPO-1005-V7151,1005,RFPO-1005-V7151-1,16878.1,2
RFPO-1005-V7151,1005,RFPO-1005-V7151-2,16878.1,2
RFPO-1569-O56,1569,RFPO-1569-O56-1,23784.88,2
RFPO-1569-O56,1569,RFPO-1569-O56-2,23784.88,2
RFPO-1569-O59,1569,RFPO-1569-O59-1,2123.89,2
RFPO-1569-O59,1569,RFPO-1569-O59-2,2123.89,2
RFPO-4814-E6802A,4814,RFPO-4814-E6802A-1,2454.9,2
RFPO-4814-E6802A,4814,RFPO-4814-E6802A-2,2454.9,2
